Platform,North America,Europe,Japan,Rest of World,Global
PlayStation 2 (PS2),53.65,55.28,23.18,26.59,158.70
3DO Interactive Multiplayer (3DO),N/A,N/A,N/A,N/A,2.00
Amiga CD32 (CD32),N/A,0.10,N/A,N/A,0.10
Atari 2600 (2600),23.54,3.35,2.36,0.75,30.00
Atari 5200 (5200),N/A,N/A,N/A,N/A,1.00
Atari 7800 (7800),3.77,N/A,N/A,N/A,3.77
Atari Jaguar (AJ),N/A,N/A,N/A,N/A,0.25
Atari Lynx (Lynx),N/A,N/A,N/A,N/A,1.00
CD-i (CDi),0.40,N/A,N/A,N/A,1.00
Coleco Telstar (CT),1.00,N/A,N/A,N/A,1.00
ColecoVision (CV),N/A,N/A,N/A,N/A,2.00
Dreamcast (DC),3.90,1.91,2.25,1.07,9.13
Fairchild Channel F (FCF),N/A,N/A,N/A,N/A,0.35
Famicom Disk System (FDS),N/A,N/A,4.40,N/A,4.40
Game Boy (GB),43.18,40.05,32.47,2.99,118.69
Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
GameCube (GC),12.55,4.44,4.04,0.71,21.74
GameGear (GG),5.40,3.23,1.78,0.21,10.62
Gizmondo (GIZ),N/A,N/A,N/A,N/A,0.02
Intellivision (Int),N/A,N/A,N/A,N/A,3.00
IQue Player (IQue),N/A,N/A,N/A,0.01,0.01
Magnavox Odyssey (Odys),N/A,N/A,N/A,N/A,0.35
N-Gage (NGage),N/A,N/A,N/A,N/A,3.00
Neo Geo (NG),N/A,N/A,N/A,N/A,0.98
Nintendo 3DS (3DS),25.47,20.45,24.67,5.35,75.94
Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
Nintendo DS (DS),57.92,51.84,32.99,11.28,154.02
Nintendo Entertainment System (NES),33.49,8.30,19.35,0.77,61.91
Nintendo Switch (NS),40.95,28.80,26.52,17.75,114.01
Nintendo Wii (Wii),45.51,33.12,12.77,10.23,101.63
Nintendo Wii U (WiiU),6.15,3.27,3.33,0.82,13.56
PC-FX (PCFX),N/A,N/A,0.40,N/A,0.40
PlayStation (PS),40.78,31.09,21.59,9.04,102.49
PlayStation 3 (PS3),29.92,30.87,10.47,16.14,87.40
PlayStation 4 (PS4),38.19,45.92,9.57,23.32,117.01
PlayStation 5 (PS5),9.84,8.38,2.00,4.24,24.46
PlayStation Portable (PSP),21.41,24.39,20.01,14.98,80.79
PlayStation Vita (PSV),2.70,3.94,5.73,3.44,15.82
Sega 32X (S32X),N/A,N/A,N/A,N/A,0.80
Sega CD (SCD),N/A,N/A,0.40,N/A,2.24
Sega Genesis (GEN),18.50,8.39,3.58,3.59,34.06
Sega Master System (MS),2.00,6.95,2.52,9.37,20.84
Sega Saturn (SAT),1.83,1.10,5.80,0.53,9.26
Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.90,49.10
TurboGrafx-16 (TG16),0.75,N/A,7.76,N/A,10.00
Virtual Boy (VB),N/A,N/A,0.14,N/A,0.77
WonderSwan (WS),N/A,N/A,3.50,N/A,3.50
Xbox (XB),15.77,7.17,0.47,1.24,24.65
Xbox 360 (X360),47.09,25.08,1.66,11.90,85.73
Xbox One (XOne),31.61,13.01,0.12,6.54,51.28
Xbox Series X/S (XS),8.95,4.76,0.37,3.42,17.51