,Developer,Country,Notable games,selected_titles_series
289,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit's Grand Adventures
290,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Jurassic Park: The Game - Episode 2: The Cavalry
291,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 305: The City That Dares Not Sleep
292,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series - Episode 3: New World Order
293,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two: Episode 3 - Jailhouse Block
294,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Back to the Future: The Game - Episode 5: Outatime
295,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: A New Frontier - Episode 2: Ties That Bind (Part II)
296,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Jurassic Park: The Game - Episode 1: The Intruder
297,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit Ep 4: The Bogey Man
298,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 106: Bright Side of the Moon
299,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2 - Episode 5: No Going Back
300,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Bone: The Great Cow Race
301,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 303: They Stole Max's Brain!
302,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Law & Order: Legacies
303,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 7: Access Denied
304,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Michonne - Episode 3: What We Deserve
305,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us: Season 2
306,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit Ep 3: Muzzled!
307,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,"Sam & Max 103: The Mole, the Mob, and the Meatball"
308,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us - Episode 5: Cry Wolf
309,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 302: The Tomb of Sammun-Mak
310,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit Ep 1: Fright of the Bumblebees
311,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands: Episode 5 - The Vault of the Traveler
312,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two: Episode 2 - Giant Consequences
313,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 4: A Block and a Hard Place
314,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 204: Chariots of the Dogs
315,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,CSI: 3 Dimensions of Murder
316,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 203: Night of the Raving Dead
317,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Jurassic Park: The Game - Episode 3: The Depths
318,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 3: The Last Place You Look
319,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - Episode 3: Long Road Ahead
320,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max Save the World
321,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay
322,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Wallace & Gromit Ep 2: The Last Resort
323,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 304: Beyond the Alley of the Dolls
324,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series
325,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2 - Episode 4: Amid The Ruins
326,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series - Episode 3: More Than a Feeling
327,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 201: Ice Station Santa
328,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within - Episode 5: Same Stitch
329,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal
330,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 5: A Nest of Vipers
331,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode
332,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2 - Episode 1: All That Remains
333,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 202: Moai Better Blues
334,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 3: The Sword in the Darkness
335,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: A New Frontier
336,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us - Episode 1: Faith
337,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Jurassic Park: The Game
338,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Poker Night at the Inventory
339,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Bone: Out from Boneville
340,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: 400 Days
341,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Michonne - Episode 2: Give No Shelter
342,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within
343,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within - Episode 2: The Pact
344,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2 - Episode 3: In Harm's Way
345,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2
346,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands
347,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Jurassic Park: The Game - Episode 4: The Survivors
348,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two
349,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Back to the Future: The Game - Episode 3: Citizen Brown
350,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: A New Frontier - Episode 4: Thicker Than Water
351,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 8: A Journey's End?
352,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 1: Iron From Ice
353,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island
354,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max: The Devil's Playhouse
355,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands: Episode 3 - Catch A Ride
356,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: A New Frontier - Episode 5: From the Gallows
357,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 6: The Ice Dragon
358,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Back to the Future: The Game - Episode 4: Double Visions
359,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series - Episode 4: Guardian of Gotham
360,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 105: Reality 2.0
361,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - Episode 2: Starved for Help
362,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - Episode 4: Around Every Corner
363,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 6: A Portal to Mystery
364,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series - Episode 2: Under Pressure
365,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us - Episode 4: In Sheep's Clothing
366,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Michonne - Episode 1: In Too Deep
367,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 4: Sons of Winter
368,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 1: The Order of the Stone
369,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within - Episode 3: Fractured Mask
370,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within - Episode 1: The Enigma
371,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series - Episode 1: Realm of Shadows
372,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead Collection: The Telltale Series
373,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands: Episode 2 - Atlas Mugged
374,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 101: Culture Shock
375,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - A Telltale Games Series
376,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands: Episode 4 - Escape Plan Bravo
377,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Back to the Future: The Game - Episode 1: It's About Time
378,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 2: Assembly Required
379,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: The Final Season - Episode 1: Done Running
380,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two: Episode 4 - Below the Bedrock
381,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood
382,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max Beyond Time and Space
383,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: A New Frontier - Episode 1: Ties That Bind (Part I)
384,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Season 2 - Episode 2: A House Divided
385,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series - Episode 4: Who Needs You
386,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - A Telltale Games Series
387,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series - Episode 1: Tangled Up in Blue
388,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two: Episode 5 - Above and Beyond
389,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series - Episode 5: City of Lights
390,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series - Episode 5: Don't Stop Believin'
391,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Episode 5: Order Up!
392,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God
393,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Guardians of the Galaxy: The Telltale Series
394,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us - Episode 2: Smoke and Mirrors
395,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us - Episode 3: A Crooked Mile
396,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 104: Abe Lincoln Must Die!
397,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: Michonne
398,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales of Monkey Island: Chapter 3 - Lair of the Leviathan
399,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Wolf Among Us
400,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - Episode 5: No Time Left
401,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: The Final Season - Episode 2: Suffer the Children
402,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Telltale Series - Episode 2: Children of Arkham
403,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Back to the Future: The Game
404,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Tales from the Borderlands: Episode 1 - Zer0 Sum
405,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 102: Situation: Comedy
406,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead - Episode 1: A New Day
407,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Game of Thrones - Episode 2: The Lost Lords
408,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Batman: The Enemy Within - Episode 4: What Ails You
409,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Sam & Max 301: The Penal Zone
410,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,The Walking Dead: A New Frontier - Episode 3: Above the Law
411,telltale games,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,Minecraft: Story Mode - Season Two: Episode 1 - Hero in Residence
412,terry cavanagh,United Kingdom (England),VVVVVSuper Hexagon,Super Hexagon
413,terry cavanagh,United Kingdom (England),VVVVVSuper Hexagon,Hexagon
414,three rings design,United States,Yohoho! Puzzle PiratesBang! HowdyWhirled,Yohoho! Puzzle Pirates
415,terri vellmann,Brazil,Heavy Bullets,Heavy Bullets
416,toby fox,United States,UndertaleDeltarune,
417,torpex games,United States,Schizoid,Schizoid
418,tomorrow corporation,United States,Little InfernoWorld of Goo,Little Inferno
419,trendy entertainment,United States,Dungeon Defenders,Dungeon Defenders
420,tribute games,Canada,WizorbMercenary KingsCurses 'N Chaos,Wizorb
421,tribute games,Canada,WizorbMercenary KingsCurses 'N Chaos,Curses 'N Chaos
422,tribute games,Canada,WizorbMercenary KingsCurses 'N Chaos,Mercenary Kings
423,trickster arts,Czech Republic,Hero of ManyHackers,Hero of Many
424,uber entertainment,United States,Planetary AnnihilationMonday Night CombatSuper Monday Night Combat,Planetary Annihilation
425,uber entertainment,United States,Planetary AnnihilationMonday Night CombatSuper Monday Night Combat,Super Monday Night Combat
426,uber entertainment,United States,Planetary AnnihilationMonday Night CombatSuper Monday Night Combat,Monday Night Combat
427,vectorpark,United States,WindosillMetamorphabet,Metamorphabet
428,voxelstorm,United Kingdom,GolfXTRMFractyrAdvertCity,AdvertCity
429,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,Shardlight
430,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,Blackwell Epiphany
431,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,The Blackwell Trilogy: Remastered
432,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,Blackwell Convergence
433,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,Blackwell Deception
434,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,Blackwell Legacy
435,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,The Shivah
436,wadjet eye games,United States,The Shivah Blackwell series Gemini Rue Shardlight,Blackwell Unbound
437,wolfire games,United States,Black ShadesLugaru: The Rabbit's FootOvergrowth,Overgrowth
438,yacht club games,United States,Shovel Knight,Shovel Knight
439,young horses,United States,Octodad Octodad: Dadliest Catch,Octodad: Dadliest Catch
440,zoetrope interactive,Turkey,Darkness WithinDarkness Within: The Dark Lineage,
441,zoink,Sweden,PlayStation All-Stars IslandThe Kore Gang,
442,zoonami,United Kingdom,ZendokuBonsai Barber,Zendoku
443,zoonami,United Kingdom,ZendokuBonsai Barber,Bonsai Barber
444,zootfly,Slovenia,First Battalion,
445,zootfly,Slovenia,First Battalion,
